"id","dt","isworkday","isholiday"
308,2020-11-03 00:00:00.000,true,false
309,2020-11-04 00:00:00.000,false,true
310,2020-11-05 00:00:00.000,true,false
311,2020-11-06 00:00:00.000,true,false
312,2020-11-07 00:00:00.000,false,false
313,2020-11-08 00:00:00.000,false,false
314,2020-11-09 00:00:00.000,true,false
315,2020-11-10 00:00:00.000,true,false
316,2020-11-11 00:00:00.000,true,false
317,2020-11-12 00:00:00.000,true,false
318,2020-11-13 00:00:00.000,true,false
319,2020-11-14 00:00:00.000,false,false
320,2020-11-15 00:00:00.000,false,false
321,2020-11-16 00:00:00.000,true,false
322,2020-11-17 00:00:00.000,true,false
323,2020-11-18 00:00:00.000,true,false
324,2020-11-19 00:00:00.000,true,false
325,2020-11-20 00:00:00.000,true,false
326,2020-11-21 00:00:00.000,false,false
327,2020-11-22 00:00:00.000,false,false
328,2020-11-23 00:00:00.000,true,false
329,2020-11-24 00:00:00.000,true,false
330,2020-11-25 00:00:00.000,true,false
331,2020-11-26 00:00:00.000,true,false
332,2020-11-27 00:00:00.000,true,false
333,2020-11-28 00:00:00.000,false,false
334,2020-11-29 00:00:00.000,false,false
335,2020-11-30 00:00:00.000,true,false
336,2020-12-01 00:00:00.000,true,false
337,2020-12-02 00:00:00.000,true,false
338,2020-12-03 00:00:00.000,true,false
339,2020-12-04 00:00:00.000,true,false
340,2020-12-05 00:00:00.000,false,false
341,2020-12-06 00:00:00.000,false,false
342,2020-12-07 00:00:00.000,true,false
343,2020-12-08 00:00:00.000,true,false
344,2020-12-09 00:00:00.000,true,false
345,2020-12-10 00:00:00.000,true,false
346,2020-12-11 00:00:00.000,true,false
347,2020-12-12 00:00:00.000,false,false
348,2020-12-13 00:00:00.000,false,false
349,2020-12-14 00:00:00.000,true,false
350,2020-12-15 00:00:00.000,true,false
351,2020-12-16 00:00:00.000,true,false
352,2020-12-17 00:00:00.000,true,false
353,2020-12-18 00:00:00.000,true,false
354,2020-12-19 00:00:00.000,false,false
355,2020-12-20 00:00:00.000,false,false
356,2020-12-21 00:00:00.000,true,false
357,2020-12-22 00:00:00.000,true,false
358,2020-12-23 00:00:00.000,true,false
359,2020-12-24 00:00:00.000,true,false
360,2020-12-25 00:00:00.000,true,false
361,2020-12-26 00:00:00.000,false,false
362,2020-12-27 00:00:00.000,false,false
363,2020-12-28 00:00:00.000,true,false
364,2020-12-29 00:00:00.000,true,false
365,2020-12-30 00:00:00.000,true,false
366,2020-12-31 00:00:00.000,true,false
367,2021-01-01 00:00:00.000,false,true
368,2021-01-02 00:00:00.000,false,true
369,2021-01-03 00:00:00.000,false,true
370,2021-01-04 00:00:00.000,false,true
371,2021-01-05 00:00:00.000,false,true
372,2021-01-06 00:00:00.000,false,true
373,2021-01-07 00:00:00.000,false,true
374,2021-01-08 00:00:00.000,false,true
375,2021-01-09 00:00:00.000,false,false
376,2021-01-10 00:00:00.000,false,false
377,2021-01-11 00:00:00.000,true,false
378,2021-01-12 00:00:00.000,true,false
379,2021-01-13 00:00:00.000,true,false
380,2021-01-14 00:00:00.000,true,false
381,2021-01-15 00:00:00.000,true,false
382,2021-01-16 00:00:00.000,false,false
383,2021-01-17 00:00:00.000,false,false
384,2021-01-18 00:00:00.000,true,false
385,2021-01-19 00:00:00.000,true,false
386,2021-01-20 00:00:00.000,true,false
387,2021-01-21 00:00:00.000,true,false
388,2021-01-22 00:00:00.000,true,false
389,2021-01-23 00:00:00.000,false,false
390,2021-01-24 00:00:00.000,false,false
391,2021-01-25 00:00:00.000,true,false
392,2021-01-26 00:00:00.000,true,false
393,2021-01-27 00:00:00.000,true,false
394,2021-01-28 00:00:00.000,true,false
395,2021-01-29 00:00:00.000,true,false
396,2021-01-30 00:00:00.000,false,false
397,2021-01-31 00:00:00.000,false,false
398,2021-02-01 00:00:00.000,true,false
399,2021-02-02 00:00:00.000,true,false
400,2021-02-03 00:00:00.000,true,false
401,2021-02-04 00:00:00.000,true,false
402,2021-02-05 00:00:00.000,true,false
403,2021-02-06 00:00:00.000,false,false
404,2021-02-07 00:00:00.000,false,false
405,2021-02-08 00:00:00.000,true,false
406,2021-02-09 00:00:00.000,true,false
407,2021-02-10 00:00:00.000,true,false
408,2021-02-11 00:00:00.000,true,false
409,2021-02-12 00:00:00.000,true,false
410,2021-02-13 00:00:00.000,false,false
411,2021-02-14 00:00:00.000,false,false
412,2021-02-15 00:00:00.000,true,false
413,2021-02-16 00:00:00.000,true,false
414,2021-02-17 00:00:00.000,true,false
415,2021-02-18 00:00:00.000,true,false
416,2021-02-19 00:00:00.000,true,false
417,2021-02-20 00:00:00.000,false,false
418,2021-02-21 00:00:00.000,false,false
419,2021-02-22 00:00:00.000,true,false
420,2021-02-23 00:00:00.000,false,true
421,2021-02-24 00:00:00.000,true,false
422,2021-02-25 00:00:00.000,true,false
423,2021-02-26 00:00:00.000,true,false
424,2021-02-27 00:00:00.000,false,false
425,2021-02-28 00:00:00.000,false,false
426,2021-03-01 00:00:00.000,true,false
427,2021-03-02 00:00:00.000,true,false
428,2021-03-03 00:00:00.000,true,false
429,2021-03-04 00:00:00.000,true,false
430,2021-03-05 00:00:00.000,true,false
431,2021-03-06 00:00:00.000,false,false
432,2021-03-07 00:00:00.000,false,false
433,2021-03-08 00:00:00.000,false,true
434,2021-03-09 00:00:00.000,true,false
435,2021-03-10 00:00:00.000,true,false
436,2021-03-11 00:00:00.000,true,false
437,2021-03-12 00:00:00.000,true,false
438,2021-03-13 00:00:00.000,false,false
439,2021-03-14 00:00:00.000,false,false
440,2021-03-15 00:00:00.000,true,false
441,2021-03-16 00:00:00.000,true,false
442,2021-03-17 00:00:00.000,true,false
443,2021-03-18 00:00:00.000,true,false
444,2021-03-19 00:00:00.000,true,false
445,2021-03-20 00:00:00.000,false,false
446,2021-03-21 00:00:00.000,false,false
447,2021-03-22 00:00:00.000,true,false
448,2021-03-23 00:00:00.000,true,false
449,2021-03-24 00:00:00.000,true,false
450,2021-03-25 00:00:00.000,true,false
451,2021-03-26 00:00:00.000,true,false
452,2021-03-27 00:00:00.000,false,false
453,2021-03-28 00:00:00.000,false,false
454,2021-03-29 00:00:00.000,true,false
455,2021-03-30 00:00:00.000,true,false
456,2021-03-31 00:00:00.000,true,false
457,2021-04-01 00:00:00.000,true,false
458,2021-04-02 00:00:00.000,true,false
459,2021-04-03 00:00:00.000,false,false
460,2021-04-04 00:00:00.000,false,false
461,2021-04-05 00:00:00.000,true,false
